,Rank,Team Name,Score,Penalty
0,1," RU_404 (Kamol, Farhan, Ashiq)",8,1123
1,2," KUET_ByteBlitz (Liad,Shoriful,Tashin)",8,1247
2,3," KUETcode_monkeys (Eleus, Zobayer, Sadi)",7,468
3,4," DreamsOfsuccess (mahedi,sajjat,azizur)",7,693
4,5, RakibJoy,7,1325
5,6, prodipdatta7 (Prodip),6,206
6,7, CUET_Pyro2,6,812
7,8," AUST_07 (Sajid,Remon,Apu)",6,873
8,9," CUET_Temporary (Hamim, Bappi, Alamin)",6,982
9,10, 2019331063 (Sami),5,408
10,11," KUET_etc (Faysal,Hafiz,Khalil)",5,576
11,12, Matrix33 (Mehedi),5,725
12,13, sayeef_1903006 (Sayeef),4,116
13,14, Sarwar82 (2020331031_Sarwar),4,128
14,15," CodeHoppers (Faizul,Rudro,Tanbir)",4,141
15,16, mukim (KUET),4,160
16,17, nibirjoydhar (Nibir Joydhar),4,165
17,18, aritra741 (2017331073),4,166
18,19, mustafiz05 (mustafiz(12th)),4,277
19,20," BSMRSTU_KeyBlade (Fuad, Masud, Arnab)",4,291
20,21, Corona9 (ok),4,293
21,22, 2020331009 (Unayes),4,356
22,23, Mehraj_mi2 (mithu(2k20)),4,370
23,24, shahidulmiraj (miraj),4,380
24,25, __MyDoom (Malik Abdul Aziz),4,405
25,26," JnU_Introverts (Rashed,Sezer,Nahid)",4,443
26,27, Incognito_coders (Incognito),4,475
27,28," Ternary_String (Muzahid,Subrata,Taif)",4,519
28,29, Patrons,4,532
29,30, JNU_BIGBRAINS (ASFI-SIFAT-ANTAR),4,562
30,31, Code_Crusaders (Asif Hridoy Julker),4,747
31,32, Nafis2003174 (RUET CSE 20),4,1192
32,33," MISTCG0naiCP0nai (Hasnat,Nabiha,Pallob)",3,52
33,34, HabibaJahan (2020331087_HABIBA),3,202
34,35, Fahim9090 (Fahim),3,250
35,36, IU_Spiral_Forge (Refat-Rabbi-Mohidul),3,251
36,37, BSMSTU_ThreeKids,3,307
37,38, LR_Wahid (LR Wahid),3,349
38,39, onimfaiaz (Onim),3,382
39,40, rajiun (raju),3,384
40,41, Hasin2 (Hasin),3,387
41,42, Paul72 (Nishi Kanta Paul),3,518
42,43, jahid_hridoy (Mini),3,566
43,44, Ahsanul_Anam (CSE_12),3,765
44,45, hhhhhhrrrrrr (Tuhin Miah),2,186
45,46, Mohaiminul32 (Mohaiminul),2,271
46,47," Kuet_CypherForce (Mehedy, Emon, Azin)",1,17
47,48, Shorifulsoumic (KUET_ShorifulSoumic),1,54
48,49, Nabonita_Paul (Hridi),1,140
49,50, 2004073_Towhid,1,205
50,51, Tanzim_bn (1904037_Tanzim),1,311
51,52, Nibir_Joydhar (Nibir Joydhar),0,0
52,53, Rashedunnabi (Rashed),0,0
53,54, Suman_Mandol (suman mandol),0,0
54,55, 9xZER0 (faisal),0,0
55,56, SHAHARIAR_ISLAM (SAKIB),0,0
56,57, mainurrahat47 (C223147_Mainur Rahat),0,0
57,58, Siifu_ (Sifat),0,0
58,59, hrk_is_alive (NAndi),0,0
